L	-0.0200	2.6865	1477010443150000	-0.0024	2.8500	-0.0314	0.9995
L	-0.1926	3.6016	1477010443950000	-0.1334	3.6370	-0.2790	0.9603
L	-0.2738	4.3856	1477010444750000	-0.4560	4.3668	-0.5090	0.8607
L	-0.8574	5.1479	1477010445550000	-0.9500	4.9934	-0.7071	0.7071
L	-1.5638	5.3193	1477010446350000	-1.5843	5.4775	-0.8607	0.5090
L	-2.1522	5.9373	1477010447150000	-2.3190	5.7886	-0.9603	0.2790
L	-3.2384	5.6570	1477010447950000	-3.1080	5.9073	-0.9995	0.0314
L	-3.8860	5.7958	1477010448750000	-3.9018	5.8259	-0.9759	-0.2181
L	-4.7460	5.3955	1477010449550000	-4.6504	5.5498	-0.8910	-0.4540
L	-5.5174	5.3041	1477010450350000	-5.3068	5.0961	-0.7501	-0.6613
L	-5.8713	4.4495	1477010451150000	-5.8297	4.4935	-0.5621	-0.8271
L	-6.2508	4.0050	1477010451950000	-6.1864	3.7797	-0.3388	-0.9409
L	-6.4141	2.9970	1477010452750000	-6.3543	2.9997	-0.0941	-0.9956
L	-6.3469	2.1936	1477010453550000	-6.3230	2.2024	0.1564	-0.9877
L	-6.2881	1.3607	1477010454350000	-6.0944	1.4379	0.3971	-0.9178
L	-5.6618	0.5962	1477010455150000	-5.6828	0.7543	0.6129	-0.7902
L	-5.0115	0.1442	1477010455950000	-5.1142	0.1946	0.7901	-0.6129
L	-4.4629	-0.3529	1477010456750000	-4.4242	-0.2062	0.9177	-0.3972
L	-3.6581	-0.2423	1477010457550000	-3.6563	-0.4228	0.9877	-0.1565
L	-2.9171	-0.5504	1477010458350000	-2.8586	-0.4416	0.9956	0.0941
L	-1.9670	-0.1362	1477010459150000	-2.0813	-0.2614	0.9409	0.3387
L	-1.3756	0.2085	1477010459950000	-1.3732	0.1064	0.8271	0.5621
L	-0.6616	0.7230	1477010460750000	-0.7789	0.6388	0.6613	0.7501
L	-0.4013	1.3704	1477010461550000	-0.3356	1.3022	0.4540	0.8910
L	-0.1332	1.8929	1477010462350000	-0.0712	2.0550	0.2182	0.9759
L	-0.0873	2.9640	1477010463150000	-0.0008	2.8500	0.0000	1.0000
L	-0.0066	3.6502	1477010463950000	0.1054	3.6408	0.2487	0.9686
L	0.4927	4.0354	1477010464750000	0.4050	4.3803	0.4818	0.8763
L	0.8473	4.8700	1477010465550000	0.8790	5.0222	0.6846	0.7289
L	1.6375	5.4640	1477010466350000	1.4978	5.5259	0.8443	0.5358
L	2.2868	5.8931	1477010467150000	2.2224	5.8600	0.9511	0.3090
L	3.0774	5.9474	1477010467950000	3.0073	6.0033	0.9980	0.0628
L	3.7993	5.8456	1477010468750000	3.8032	5.9470	0.9823	-0.1874
L	4.4093	5.7121	1477010469550000	4.5601	5.6944	0.9048	-0.4258
L	5.0565	5.2129	1477010470350000	5.2305	5.2616	0.7705	-0.6374
L	5.8697	4.7211	1477010471150000	5.7721	4.6757	0.5878	-0.8090
L	6.1804	3.6342	1477010471950000	6.1510	3.9735	0.3681	-0.9298
L	6.3571	3.1456	1477010472750000	6.3433	3.1991	0.1253	-0.9921
L	6.3009	2.4970	1477010473550000	6.3370	2.4012	-0.1253	-0.9921
L	6.1277	1.5468	1477010474350000	6.1325	1.6300	-0.3681	-0.9298
L	5.6411	0.8904	1477010475150000	5.7427	0.9338	-0.5878	-0.8090
L	5.1880	0.4205	1477010475950000	5.1919	0.3565	-0.7705	-0.6374
L	4.3237	0.0151	1477010476750000	4.5149	-0.0658	-0.9048	-0.4258
L	3.7213	-0.2357	1477010477550000	3.7541	-0.3064	-0.9823	-0.1874
L	3.1169	-0.0883	1477010478350000	2.9574	-0.3502	-0.9980	0.0628
L	2.1811	-0.2510	1477010479150000	2.1749	-0.1945	-0.9511	0.3090
L	1.6117	0.2761	1477010479950000	1.4556	0.1509	-0.8443	0.5358
L	1.1091	0.6694	1477010480750000	0.8448	0.6643	-0.6845	0.7290
L	0.4646	1.5385	1477010481550000	0.3809	1.3135	-0.4818	0.8763
L	0.0077	2.1319	1477010482350000	0.0930	2.0576	-0.2487	0.9686
L	-0.0630	2.8713	1477010483150000	-0.0008	2.8500	0.0000	1.0000
