R	2.9357	1.5824	1.4390	1477010443300000	-0.0118	2.9997	-0.0785	0.9969
R	3.8463	1.5855	0.6074	1477010444100000	-0.1797	3.7797	-0.3239	0.9461
R	4.3801	1.6808	0.7265	1477010444900000	-0.5364	4.4935	-0.5490	0.8358
R	4.5590	1.7651	1.1248	1477010445700000	-1.0593	5.0961	-0.7396	0.6730
R	5.7175	1.8743	0.6992	1477010446500000	-1.7157	5.5498	-0.8838	0.4679
R	6.0642	1.9632	0.5145	1477010447300000	-2.4643	5.8259	-0.9724	0.2334
R	7.1816	2.0731	0.5368	1477010448100000	-3.2580	5.9073	-0.9999	-0.0157
R	7.3008	2.1666	0.0189	1477010448900000	-4.0471	5.7886	-0.9646	-0.2639
R	7.6723	2.2986	-0.0588	1477010449700000	-4.7818	5.4775	-0.8686	-0.4955
R	7.2526	2.4023	-0.2332	1477010450500000	-5.4161	4.9934	-0.7181	-0.6959
R	7.6915	2.5174	-0.2173	1477010451300000	-5.9101	4.3668	-0.5225	-0.8526
R	7.3304	2.6103	-0.3180	1477010452100000	-6.2327	3.6371	-0.2941	-0.9558
R	6.7252	2.7265	-0.1303	1477010452900000	-6.3637	2.8500	-0.0471	-0.9989
R	6.6110	2.7468	-0.6529	1477010453700000	-6.2949	2.0550	0.2028	-0.9792
R	6.2960	2.8962	-0.2678	1477010454500000	-6.0305	1.3022	0.4399	-0.8980
R	5.5607	3.0397	-0.6284	1477010455300000	-5.5872	0.6388	0.6494	-0.7604
R	4.6775	3.0748	-1.0007	1477010456100000	-4.9928	0.1064	0.8181	-0.5750
R	4.7580	-3.0622	-0.6089	1477010456900000	-4.2848	-0.2614	0.9354	-0.3535
R	3.6729	-3.0139	-0.9846	1477010457700000	-3.5075	-0.4416	0.9940	-0.1098
R	3.1362	-2.9758	-0.7174	1477010458500000	-2.7098	-0.4228	0.9900	0.1409
R	1.7100	-3.0439	-0.5869	1477010459300000	-1.9419	-0.2062	0.9239	0.3827
R	0.8063	3.0660	-0.5449	1477010460100000	-1.2519	0.1946	0.7997	0.6004
R	1.0961	2.3003	0.1323	1477010460900000	-0.6833	0.7543	0.6253	0.7804
R	1.4399	1.7646	0.9388	1477010461700000	-0.2717	1.4379	0.4115	0.9114
R	2.0504	1.6150	0.7672	1477010462500000	-0.0431	2.2024	0.1720	0.9851
R	2.8046	1.5575	1.1434	1477010463300000	0.0039	2.9999	0.0471	0.9989
R	3.7626	1.4950	0.7181	1477010464100000	0.1473	3.7848	0.2941	0.9558
R	4.0989	1.4507	0.5487	1477010464900000	0.4813	4.5094	0.5225	0.8526
R	4.7962	1.3742	1.0150	1477010465700000	0.9851	5.1282	0.7181	0.6959
R	6.4854	1.2835	0.6726	1477010466500000	1.6269	5.6023	0.8686	0.4954
R	6.2455	1.1289	0.6885	1477010467300000	2.3664	5.9018	0.9646	0.2638
R	6.7883	1.0670	0.6994	1477010468100000	3.1572	6.0080	0.9999	0.0157
R	6.6537	0.9872	0.1664	1477010468900000	3.9496	5.9142	0.9724	-0.2335
R	7.3637	0.8770	0.5236	1477010469700000	4.6938	5.6263	0.8838	-0.4680
R	7.6800	0.8101	0.1569	1477010470500000	5.3430	5.1624	0.7396	-0.6730
R	7.4334	0.6408	0.3187	1477010471300000	5.8564	4.5516	0.5490	-0.8358
R	7.5134	0.5665	0.1967	1477010472100000	6.2018	3.8324	0.3239	-0.9461
R	7.4464	0.4722	-0.6736	1477010472900000	6.3574	3.0498	0.0784	-0.9969
R	7.3026	0.3422	0.0312	1477010473700000	6.3136	2.2531	-0.1719	-0.9851
R	5.6610	0.2171	-0.6145	1477010474500000	6.0730	1.4923	-0.4115	-0.9114
R	5.6972	0.1888	-0.5685	1477010475300000	5.6507	0.8153	-0.6253	-0.7804
R	5.0726	0.0118	-0.5088	1477010476100000	5.0734	0.2645	-0.7997	-0.6004
R	4.4415	-0.0244	-0.7573	1477010476900000	4.3772	-0.1253	-0.9239	-0.3827
R	3.0120	-0.0885	-0.6287	1477010477700000	3.6060	-0.3298	-0.9900	-0.1409
R	3.2786	-0.1304	-0.2174	1477010478500000	2.8081	-0.3361	-0.9940	0.1097
R	2.0857	-0.0818	-1.3233	1477010479300000	2.0337	-0.1437	-0.9354	0.3535
R	1.4439	0.2019	-0.9657	1477010480100000	1.3315	0.2352	-0.8181	0.5750
R	0.7128	0.8213	0.8147	1477010480900000	0.7456	0.7768	-0.6494	0.7604
R	1.8805	1.3548	0.8258	1477010481700000	0.3128	1.4471	-0.4399	0.8980
R	2.2573	1.5011	0.7985	1477010482500000	0.0603	2.2040	-0.2028	0.9792
